note,percentage
LEATHER,0.18181818181818182
COFFEE,0.04040404040404041
TOBACCO,0.1414141414141414
LICORICE,0.050505050505050504
MINT,0.16161616161616163
HERBAL TEA,0.0
CLOVE,0.20202020202020202
PEPPER,0.30303030303030304
CINNAMON,0.5151515151515151
BROWN SUGAR,0.0
CHOCOLATE,0.10101010101010101
BAKED GOODS,0.0
BUTTERSCOTCH,0.06060606060606061
HONEY,0.42424242424242425
TOFFEE,0.1919191919191919
CARAMEL,1.1414141414141414
VANILLA,1.505050505050505
MAPLE SYRUP,0.0
ORANGE,0.32323232323232326
LEMON,0.04040404040404041
COCONUT,0.020202020202020204
CHERRY,0.7070707070707071
BLUEBERRY,0.010101010101010102
RASPBERRY,0.020202020202020204
BLACKBERRY,0.010101010101010102
PEACH,0.050505050505050504
APPLE,0.36363636363636365
APRICOT,0.050505050505050504
PRUNE,0.0
RAISIN,0.0
FIG,0.0
JAM,0.010101010101010102
FRUIT,0.31313131313131315
ROSE,0.020202020202020204
POTPURRI,0.0
OAK,1.6262626262626263
PINE,0.0
CEDAR,0.020202020202020204
ALMOND,0.0707070707070707
WALNUT,0.04040404040404041
PECAN,0.050505050505050504
NUTMEG,0.10101010101010101
